,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5356,Mercedes S 450 2023,Mercedes,S 450,2023,Silver,41500,9000000,Cairo,20/05/2024
5357,Mercedes C 200 2022,Mercedes,C 200,2022,Black,90000,3400000,Tagamo3 - New Cairo,20/05/2024
5358,Mercedes GLC 300 2024,Mercedes,GLC 300,2024,Silver,10,6200000,Cairo,20/05/2024
5359,Mercedes A 200 2015,Mercedes,A 200,2015,Gray,2000000,1100000,Mohandessin,20/05/2024
5360,Mercedes C 180 2010,Mercedes,C 180,2010,Petroleum,1750000,1050000,Tagamo3 - New Cairo,20/05/2024
5361,Mercedes C 180 2019,Mercedes,C 180,2019,Blue,1582680,2350000,Tagamo3 - New Cairo,20/05/2024
5362,Mercedes C 180 2022,Mercedes,C 180,2022,Silver,27000,2975000,Tagamo3 - New Cairo,20/05/2024
5363,Mercedes CLA 200 2023,Mercedes,CLA 200,2023,Black,0,2800000,Tagamo3 - New Cairo,20/05/2024
5364,Mercedes C 200 2023,Mercedes,C 200,2023,White,30000,2695000,Zagazig,20/05/2024
5365,Mercedes E 180 2016,Mercedes,E 180,2016,Petroleum,1800000,2050000,Nasr city,20/05/2024
5366,Mercedes A 200 2022,Mercedes,A 200,2022,Black,300000,2300000,Sheikh Zayed City,20/05/2024
5367,Mercedes C 180 2018,Mercedes,C 180,2018,Blue,1260000,2200000,Tagamo3 - New Cairo,20/05/2024
5368,Mercedes C 180 2022,Mercedes,C 180,2022,Silver,400000,3450000,Mansoura,20/05/2024
5369,Mercedes C 180 2014,Mercedes,C 180,2014,Black,880000,190000,Giza,20/05/2024
5370,Mercedes A 200 2022,Mercedes,A 200,2022,Black,645000,2340000,Cairo,20/05/2024
5371,Mercedes C 180 2023,Mercedes,C 180,2023,Black,0,3750000,Sheraton,20/05/2024
5372,Mercedes GLC 200 AMG Imported 2023,Mercedes,GLC 200 AMG Imported,2023,Black,80000,4850000,Tagamo3 - New Cairo,20/05/2024
5373,Mercedes C 180 2016,Mercedes,C 180,2016,Silver,300000,2450000,Tagamo3 - New Cairo,20/05/2024
5374,Mercedes GLA 2024,Mercedes,GLA,2024,White,0,3700000,Heliopolis,20/05/2024
5375,Mercedes C 180 2020,Mercedes,C 180,2020,Blue,700000,2750000,Heliopolis,20/05/2024
5376,Mercedes C 180 2022,Mercedes,C 180,2022,Blue,260000,3295000,06-Oct,20/05/2024
5377,Mercedes GLA 2024,Mercedes,GLA,2024,Black,0,3350000,Tagamo3 - New Cairo,20/05/2024
5378,Mercedes GLA 2019,Mercedes,GLA,2019,Silver,920000,1750000,06-Oct,20/05/2024
5379,Mercedes E 180 2016,Mercedes,E 180,2016,White,1300000,2285000,Mohandessin,20/05/2024
5380,Mercedes A 180 2021,Mercedes,A 180,2021,Silver,900000,1975000,Tagamo3 - New Cairo,20/05/2024
5381,Mercedes E 350 2018,Mercedes,E 350,2018,Black,590000,2800000,Tagamo3 - New Cairo,20/05/2024
5382,Mercedes C 180 2023,Mercedes,C 180,2023,White,0,3600000,Nasr city,20/05/2024
5383,Mercedes E 180 2019,Mercedes,E 180,2019,Black,460000,3100000,06-Oct,20/05/2024
5384,Mercedes C 180 2013,Mercedes,C 180,2013,Silver,1050000,1400000,Tagamo3 - New Cairo,20/05/2024
5385,Mercedes GLC 300 2022,Mercedes,GLC 300,2022,Silver,120000,4650000,Sheikh Zayed City,20/05/2024
5386,Mercedes E 350 2018,Mercedes,E 350,2018,White,620000,3200000,Cairo,20/05/2024
5387,Mercedes A 180 2021,Mercedes,A 180,2021,Silver,560000,2100000,06-Oct,20/05/2024
5388,Mercedes C 180 2012,Mercedes,C 180,2012,Silver,1670000,1250000,Cairo,20/05/2024
5389,Mercedes 280 1974,Mercedes,280,1974,Green,2000000,145000,06-Oct,20/05/2024
5390,Mercedes C 200 2005,Mercedes,C 200,2005,Silver,2750000,700000,Mansoura,20/05/2024
5391,Mercedes GLA 2015,Mercedes,GLA,2015,Dark grey,1390000,1730000,Obour City,20/05/2024
5392,Mercedes E 250 2011,Mercedes,E 250,2011,Black,2400000,1630000,Cairo,20/05/2024
5393,Mercedes CLA 200 2022,Mercedes,CLA 200,2022,Black,390000,2750000,Cairo,19/05/2024
5394,Mercedes 200 1983,Mercedes,200,1983,Green,2500000,250000,Tagamo3 - New Cairo,19/05/2024
5395,Mercedes 200 1981,Mercedes,200,1981,Olive,3940000,215000,Tagamo3 - New Cairo,19/05/2024
5396,Mercedes E 200 2021,Mercedes,E 200,2021,Silver,770000,3440000,El Katameya,19/05/2024
5397,Mercedes 200 1980,Mercedes,200,1980,Petroleum,2500000,195000,Dakahlia,19/05/2024
5398,Mercedes C 200 AMG 2021,Mercedes,C 200 AMG,2021,Black,700000,3200000,Cairo,19/05/2024
5399,Mercedes C 200 2022,Mercedes,C 200,2022,Dark grey,250000,3200000,Sheikh Zayed City,19/05/2024
5400,Mercedes 200 2023,Mercedes,200,2023,White,40000,5000000,El Manial,19/05/2024
5401,Mercedes 200 1977,Mercedes,200,1977,Red,300000,180000,Cairo,19/05/2024
5402,Mercedes GLC 250 2019,Mercedes,GLC 250,2019,Blue,700000,2730000,Gharbia,19/05/2024
5403,Mercedes C 180 2015,Mercedes,C 180,2015,Black,1350000,2150000,Tagamo3 - New Cairo,19/05/2024
5404,Mercedes C 200 2005,Mercedes,C 200,2005,Black,1900000,850000,Cairo,19/05/2024
5405,Mercedes C 180 2023,Mercedes,C 180,2023,Silver,68770,3100000,Sheikh Zayed City,19/05/2024
5406,Mercedes C 180 2024,Mercedes,C 180,2024,Black,120,4000000,Nasr city,19/05/2024
5407,Mercedes C 180 2019,Mercedes,C 180,2019,Dark blue,550000,2450000,Giza,19/05/2024
5408,Mercedes 200 2021,Mercedes,200,2021,Red,104000,3100000,Tagamo3 - New Cairo,19/05/2024
5409,Mercedes GLC 200 2022,Mercedes,GLC 200,2022,Black,97000,4400000,Tagamo3 - New Cairo,19/05/2024
5410,Mercedes GLC 200 2020,Mercedes,GLC 200,2020,Dark red,260000,3800000,Maadi,18/05/2024
5411,Mercedes E 280 2007,Mercedes,E 280,2007,Gray,2200000,900000,Sheikh Zayed City,18/05/2024
5412,Mercedes B 150 2009,Mercedes,B 150,2009,Black,1960000,520000,Al Shorouk,18/05/2024
